title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Endless Night,['Agatha Christie'],2012-04,['Avarice'],"""When penniless Michael Rogers discovers the beautiful house at Gipsy's Acre and then meets the heiress Ellie, it seems that all his dreams have come true at once. But he ignores an old woman's warning of an ancient curse, and evil begins to stir in paradise. As Michael soon lears: Gipysy's Acre is the place where fatal 'accidents' happen.""--Publisher description.",N/A,N/A,en
True Evil,['Greg Iles'],2007-09-25,['Fiction'],"""True Evil tells the story of a divorce attorney who may be orchestrating the deaths of his clients' spouses, bringing new meaning to the phrase ""'til death do us part."""" ""Dr. Chris Shepard is thirty-six years old, newly married, and well on his way to a perfect life. Or so he believes. But that future is forever cast into doubt the day Special Agent Alexandra Morse walks into his office and drops a bombshell: Dr. Shepard's beautiful new wife is plotting his murder. Shepard is so shocked that he almost throws Agent Morse out of his office. Yet once he is alone, doubt begins to gnaw at him. Paranoia magnifies the small cracks in his marital relationship, and soon he can have no peace unless he knows the truth. When Agent Morse reappears, Chris agrees to act as bait to help her unravel the divorce lawyer's scheme, which may already have cost nine unsuspecting spouses their lives."" ""At the center of the mystery lies a maddeningly simple question: If these people really were murdered, why can't the FBI prove it? Rigorous autopsies have uncovered no forensic evidence of foul play, and the police believe no crimes have occurred. As Dr. Shepard and Agent Morse struggle against an invisible adversary, Shepard realizes that he's working with a desperate woman. The reason: the killer's last known victim was Alex Morse's sister, who from her deathbed accused her husband of murder and extracted a vow that Alex save her ten-year-old nephew from his father. This has driven Alex to risk both her life and her career to fulfill that vow. But Chris Shepard soon feels desperation of his own. As he probes his wife's hidden past, he is confronted by the probability that the woman he loves wants him dead.""--BOOK JACKET.",N/A,N/A,en
Paper Money,['Ken Follett'],1987-10-06,['Fiction'],"Paper Money is a tautly woven, intriguing story of a single day in the life of the London Evening Post. As various stories break--the awarding of an oil-drilling contract, a mammoth cash robbery, the blackmailing of a politician--awkward questions begin to tie the events together, but will the full story ever make the headlines? By the grand master of suspense, Ken Follett (The Modigliani Scandal). First time published in the United States. Copyright © Libri GmbH. All rights reserved.",4,N/A,en
A Murder is Announced,['Agatha Christie'],1986,['Fiction'],"A childish practical joke? Or a hoax intended to scare poor Letitia Blacklock? Unable to resist the mysterious invitation, a crowd begins to gather at Little Paddocks at the appointed time when, without warning, the lights go out...",N/A,N/A,en
"""A"" is for Alibi",['Sue Grafton'],1987,['Fiction'],A woman wrongly convicted of murdering her husband hires private detective Kinsey Millhone to find the real killer.,N/A,N/A,en
The Girl with the Dragon Tattoo,['Stieg Larsson'],2008,['Computer hackers'],"Perfectly timed before the July publication of Larsson's second book in this series--""The Girl Who Played with Fire""--this international publishing sensation introduces readers to Mikael Blomqvist and Lisbeth Salander, the stars of both contagiously exciting books.",N/A,N/A,en
Maigret and the Nahour Case,['Georges Simenon'],1982,['Fiction'],"The chief suspect in the murder of master jewel thief Manuel Palmari is Palmari's young mistress, but Inspector Maigret suspects others as well, including the mysterious and gross Monsieur Louis.",N/A,N/A,en
The Girl with the Dragon Tattoo,"['Stieg Larsson', 'Reg Keeland (translator.)']",2008,['Computer hackers'],"Forty years ago, Harriet Vanger disappeared off the secluded island owned and inhabited by the powerful Vanger family. Harriet's uncle, Henrik, is convinced that she was murdered by someone in her own family - the deeply dysfunctional Vanger clan. A sinister family saga, a mystery of massive financial fraud and a haunting love story.",3,N/A,en
The Redeemer,['Jo Nesbø'],2009,['Fiction'],"As Christmas approaches, Detective Harry Hole investigates the murder of a Salvation Army singer, who turns out to have been shot by mistake.",N/A,N/A,en
The Mystery of Edwin Drood,['Charles Dickens'],1989,['Fiction'],Tells of the mysterious murder of Edwin Drood in mid-nineteenth century England.,N/A,N/A,en
Murder on the Orient Express,['Agatha Christie'],2006,['Fiction'],Hercule Poirot is called in to solve the crime when an American passenger on the Orient Express is found murdered in his locked compartment.,N/A,N/A,en
The Mysterious Mr Quin,['Agatha Christie'],1993,['Fiction'],"It had been a typical New Year's Eve party, but as midnight approaches, Mr. Satterthwaite -- a keen observer of human nature -- senses that the real drama of the evening is about to unfold. He's proved right when a mysterious stranger knocks at the door.",N/A,N/A,en
Five on Kirrin Island Again,['Enid Blyton'],1947,['Criminals'],Fire børn og en hund opdager forbrydere og spioner.,5,N/A,en
The Shape of Water,['Andrea Camilleri'],2002,['Fiction'],Follows Sicilian detective Inspector Montalbano as he investigates the suspicious death of an engineer who had made a name for himself in a small town.,4,N/A,en
Ten Little Indians,['Agatha Christie'],1978-02-01,['Fiction'],Previously published as: Ten little Indians.,N/A,N/A,en
Faithless,['Karin Slaughter'],2006,['Fiction'],"The victim was buried alive in the Georgia woods then killed in a horrifying fashion. When Sara and Jeffrey stumbled upon the body, they both became consumed with finding the killer of the young woman.",5,N/A,en
Archer's Goon,['Diana Wynne Jones'],1992-01,[],N/A,N/A,N/A,en
Angels and Demons,['Dan Brown'],2005,['Fiction'],"Angels and demons is a breathtakingly brilliant thriller which catapults the reader through the antiquity of Rome, through sealed crypts, dangerous catacombs, deserted cathedrals and even the most secret vault on earth.",N/A,N/A,en
Why Didn't They Ask Evans?,['Agatha Christie'],1998,['Detective and mystery stories'],"While playing an erratic round of golf, Bobby Jones slices his ball over the edge of a cliff. On the rocks below he finds a crumpled body of a dying man. With his final breath the man says, Why didn't they ask Evans? Haunted by these words, Bobby sets out to solve the mystery.",N/A,N/A,en
The Angel of Darkness,['Caleb Carr'],1998,['Fiction'],"In one of the most critically acclaimed novels of the year, Caleb Carr-- bestselling author of The Alienist--pits Dr. Laszlo Kreizler and his colleagues against a murderer as evil as the darkest night. . . .",N/A,N/A,en
Cat Among the Pigeons,['Agatha Christie'],1994,['Boarding schools'],"Another term has begun at Meadowbank, a prestigious, well-respected British girls' school. The indomitable headmistress is preparing to retire and name her successor. There is a disconcertingly mature Middle Eastern princess among the students and several new staff members in residence. And a brand-new sports pavilion is the pride of the campus.",N/A,N/A,en
George's Secret Key to the Universe,"['Lucy Hawking', 'Stephen Hawking', 'Christophe Galfard']",2007,['Juvenile Fiction'],"George and his new friends, Annie and her dad Eric, travel around the universe with the help of Eric's supercomputer Cosmos. But someone steals Cosmos and it is up to George to save Cosmos and Eric, who has fallen into a black hole. Includes scientific facts and photos about space. Suggested level: primary, intemediate.",N/A,N/A,en
"Loves Music, Loves to Dance",['Mary Higgins Clark'],1992-03,['Fiction'],A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,5,N/A,en
The Secret of Father Brown,['Gilbert Keith Chesterton'],1974,['Fiction'],"These are just some of the problems for Father Brown to solve. In his inimitable way, this gentle, eccentric little cleric-detective sets about unravelling the threads of a colourful skein of mysteries. In the course of the investigations Father Brown travels all over the world.",N/A,N/A,en
The Harlequin Tea Set and Other Stories,['Agatha Christie'],1998,['Fiction'],"A priceless treasure for collectors and fans, ""The Harlequin Tea Set"" brings together nine brilliant Christie stories that have remained long out of print--until now. Featuring beloved Christie detectives such as Hercule Poirot and Mr. Harley Quin, as well as new characters, these stories will charm and fascinate the millions of Christie fans around the world.",4,N/A,en
The Dogs of Riga,['Henning Mankell'],2001,['Detective and mystery stories'],"February, 1991. A life raft washes ashore in Skne carrying two dead men in expensive suits, shot gangland-style. Inspector Kurt Wallander and his team determine that the men were Eastern European criminals. But what appears in Sweden to be an open-and-shut case soon plunges Wallander into an alien world of police surveillance, thinly veiled threats, and life-endangering lies. When another murder is committed, Wallander must travel to Riga, Latvia, at the peak of the massive social and political upheaval that preceded the nation's independence from the Soviet Union. Struggling to catch up with the culprits he pursues in this shadowy nation, Wallander finds that he must make a choice, decide who is lying and who is telling the truth, and test his bravery.",N/A,N/A,en
Fatal Voyage,['Kathy Reichs'],2001,['Fiction'],...Applies her cutting-edge scientific know-how to the probe of a heartbreaking commercial airliner crash...,N/A,N/A,en
Skin Privilege,['Karin Slaughter'],2011,['Fiction'],"It's no simple case of murder. The charred remains of a woman have been found, and Detective Lena Adams is charged with homicide. The evidence leads Sara Linton - Grant Country's resident medical examiner/pediatrician - and her husband, police chief Jeffrey Tolliver, to those who are poisoning a small town with their sickening hatred.",N/A,N/A,en
Crooked House,['Agatha Christie'],1995,[],"Shakespeare Survey is a yearbook of Shakespeare studies and production. Since 1948 Survey has published the best international scholarship in English and many of its essays have become classics of Shakespeare criticism. Each volume is devoted to a theme, or play, or group of plays; each also contains a section of reviews of the previous year's textual and critical studies and of major British performances. The books are illustrated with a variety of Shakespearean images and production photographs. The current editor of Survey is Peter Holland. The first eighteen volumes were edited by Allardyce Nicoll, numbers 19-33 by Kenneth Muir and numbers 34-52 by Stanley Wells. The virtues of accessible scholarship and a keen interest in performance, from Shakespeare's time to our own, have characterized the journal from the start. For the first time, numbers 1-50 are being reissued in paperback, available separately and as a set.",N/A,N/A,en
A Dangerous Fortune,['Ken Follett'],1993,['Detective and mystery stories'],"A great family of merchant bankers, infected by the poison of ambition and greed. For the Pilasters, sex and love are weapons in a war for power and wealth. One explosive secret becomes the weak link that can bring down a dynasty. In 1866, tragedy strikes at an exclusive public school. A pupil drowns in a mysterious accident involving several boys. Among them ate young High Pilaster; his cousin Edward, the weak, dissolute heir to the Pilaster banking fortune; and Micky Miranda, the darkly handsome son of a brutal South American landowner. The drowning and its aftermath initiate a spiralling circle of treachery that will last three decades and entwine many lives... Spanning the years when an empire tightens its grip on a faraway world and revolution begets a tide of violent change, A Dangerous Fortune portrays a family bound inexorably by a shared legacy, and brings us men and women swept towards a perilous climax where greed, fed by the shocking truth of a boy’s death, must be stopped – otherwise not just one man’s dreams, but those of a nation, will die.",N/A,N/A,en
The Moving Finger,['Agatha Christie'],2000,['Anonymous letters'],"Anonymous letters are sent to almost everyone in the quiet village of Lymstock. After suicide and murder occur, the vicar's wife calls in her own expert--Miss Jane Marple.",N/A,N/A,en
By the Pricking of My Thumbs,['Agatha Christie'],1968,"['Beresford, Tommy (Fictitious character)']","When Tommy and Tuppence Beresford visit an elderly aunt in Sunny Ridge, her gothic nursing home, they think nothing of her mistrust of the doctors. After all, Ada is a very old lady -- and very difficult.",N/A,N/A,en
Waiting for Wednesday,['Nicci French'],2013,['Detective and mystery stories'],"Waiting For Wednesday by Nicci French is the thrilling third novel in the highly acclaimed Frieda Klein series.Ruth Lennox, beloved mother of three, is found by her daughter in a pool of her own blood. Who would want to murder an ordinary housewife? And why?Psychotherapist Frieda Klein finds she has an unusually personal connection with DCI Karlsson's latest case. She is no longer working with him in an official capacity, but when her niece befriends Ruth Lennox's son, Ted, she finds herself in the awkward position of confidante to both Karlsson and Ted.When it emerges that Ruth was leading a secret life, her family closes ranks and Karlsson finds he needs Frieda's help more than ever before.But Frieda is distracted. Having survived an attack on her life, she is struggling to stay in control and when a patient's chance remark rings an alarm bell, she finds herself chasing down a path that seems to lead to a serial killer who has long escaped detection. Or is it merely a symptom of her own increasingly fragile mind?Because, as Frieda knows, every step closer to a killer is one more step into a darkness from which there may be no return . . .Praise for Nicci French:'Brilliantly crafted'Daily Mirror'Full of dark psychology and tension ... nerve-tingling and addictive' Daily Express'Magnificent'Evening StandardNicci French is the pseudonym for the writing partnership of journalists Nicci Gerrard and Sean French. The couple are married and live in Suffolk.Over eight million Nicci French books have been sold worldwide. There are fourteen other internationally bestselling novels: Blue Monday, Tuesday's Gone, Complicit, What To Do When Someone Dies, Until It's Over, Losing You, Catch Me When I Fall, The Memory Game, Beneath the Skin, The Safe House, The Red Room, Land of the Living, Killing Me Softly and Secret Smile, all published by Penguin.Blue Monday and Tuesday's Gone are the first two novels in the highly acclaimed bestselling Frieda Klein crime series.",N/A,N/A,en
Death Comes as the End,['Agatha Christie'],1993,['Detective and mystery stories'],"Seeking peace after her husband's death, the Ka-priest's daughter Renisenb returns to her father's house on the banks of the Nile. But beneath the calm surface of his prosperous household lurk greed, lust and hate. When the grisly death of the beautiful and venomous concubine Nofret is dismissed as fate, Renisenb becomes increasingly convinced that the source of evil lurks within - and watches as the family's passion explode in murder!",N/A,N/A,en
The ABC Murders,['Agatha Christie'],1980-01-01,['Fiction'],"One of England's finest detectives, Hercule Poirot, is called upon to solve the crimes of a murderer who kills his victims in alphabetical order. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
The Door to Time,['Pierdomenico Baccalario'],2006,['Juvenile Fiction'],"Eleven-year-old twins Jason and Julia have just moved from London to an old mansion on the English coast. Their new home is filled with twisting tunnels and strange artifacts from around the world, and the twins can't wait to discover all its secrets. Before long, Jason, Julia, and their friend Rick stumble upon a mysterious-looking door hidden behind an old wardrobe. But none of the keys in the house will open it. What lies behind the door? And why has someone tried to conceal it? Jason, Julia, and Rick are determined to find out, no matter what it takes....",N/A,N/A,en
Diamonds are Forever,['Ian Fleming'],1964,['British'],"""Tiffany Case, a cold, gorgeous, devil-may-care blonde, stands between James Bond and the leaders of a diamond-smuggling ring that stretches from Africa to London to the United States. Bond uses her to infiltrate this gang, but once in America the hunter becomes the hunted. Agent 007 is in real danger until help comes from an unlikely quarter, the ice maiden herself.""--Publisher description.",N/A,N/A,en
The Rottweiler,['Ruth Rendell'],2003,['Fiction'],"To make ends meet, widowed Inez Ferry takes in tenants above her antique store. But the unpredictable and obsessive acts of a serial murderer begin to disturb the lives of the lodgers, especially when suspicion grows that one of them might be the killer dubbed ""The Rottweiler.""",N/A,N/A,en
Stop the Clock,['Carolyn Keene'],2005-07,['Juvenile Fiction'],"When the beautiful clock of the Mahoney Library is stolen, it is up to Nancy to solve the mystery.",4,N/A,en
Alex,['Pierre Lemaître'],2014-03,['Crime'],"In kidnapping cases, the first few hours are crucial. Alex Prévost - beautiful, resourceful, tough - may be no ordinary victim, but her time is running out. Commandant Camille Verhoeven and his detectives have nothing to go on: all they know is that a girl was snatched off the streets of Paris and bundled into a white van. The enigma that is the fate of Alex will keep Verhoeven guessing until the bitter, bitter end. And before long, saving her life will be the least of his worries.",N/A,N/A,en
The Big Four,['Agatha Christie'],1965,['Detective and mystery stories'],"Framed in the doorway of Poirot's bedroom stands an uninvited guest, coated from head to foot in dust. The gaunt man's face stares for a moment then sways and falls. Who is he and what is the significance of the figure four scribbled repeatedly on a piece of paper?",5,N/A,en
Death on the Nile,['Agatha Christie'],1937,['English fiction'],N/A,N/A,N/A,en
Murder is Easy,['Agatha Christie'],1941,['Mystery'],N/A,N/A,N/A,en
A Time to Kill,['John Grisham'],1996,['Fiction'],Courtroom drama of an inhuman crime.,4,N/A,en
The Secret in the Old Lace,['Carolyn Keene'],1989,['Juvenile Fiction'],"While in Belgium investigating the mystery surrounding an antique cross, Nancy and her friends learn that her entry in a short story contest may somehow be involved.",N/A,N/A,en
Déjà Dead,['Kathy Reichs'],2012,['Fiction'],"""A body is too decomposed for a standard autopsy. Dr Brennan takes on the forensic case and, convinced that a serial killer is at work, finally persuades the sceptical detective in charge of the truth, but only after the body count has grown.""--Publisher.",N/A,N/A,en
Five Go Off to Camp,['Enid Blyton'],2000-02-17,"[""Children's stories""]",N/A,N/A,N/A,en
"Good Morning, Midnight",['Reginald Hill'],2005,"['Dalziel, Andrew (Fictitious character)']","Pascoe's investigation into the locked-room suicide of a young man, a suicide that mirrors that of his father ten years earlier, is hampered by Dalziel, who has appointed himself the young man's stepmother's champion.",N/A,N/A,en
Five Go to Smuggler's Top,['Enid Blyton'],2000-01-20,"[""Children's stories""]",N/A,N/A,N/A,en
What Mrs. McGillicuddy Saw!,['Agatha Christie'],1957,['Fiction'],Witness to murder on a train.,N/A,N/A,en
Moby Dick. Con CD,['Herman Melville'],2007,['Education'],"In Melville's classic tale of revenge, Ishmael tells his story of becoming a whaler on the ""Pequod.""",N/A,N/A,en
Brother Odd,['Dean Ray Koontz'],2007,['Fiction'],"Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginning—but where he will meet an adversary as old and inexorable as time itself. St. Bartholomew’s Abbey sits in majestic solitude amid the wild peaks of California’s high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and Odd’s steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbey’s most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",4.5,N/A,en
The Deadly Dance,['M. C. Beaton'],2004-11-02,['Fiction'],"Bossy, impulsive, and unlucky in love, the all-too-human Agatha Raisin has proved to be a surprisingly effective---and endearing---amateur sleuth. But can Agatha make it as a private investigator? After getting mugged on vacation, in what she will always think of as the Paris Incident, she decides to find out. Agatha soon learns that running her own detective agency in the Cotswolds is not quite like starring in a Raymond Chandler movie. Instead of dames in distress with big shoulder pads, her clients are ladies with missing cats and a man whose son has run off with his car. Agatha even worries that she might be outclassed by her sixty-seven-year-old secretary, Emma Comfrey. But then wealthy divorcée Catherine Laggat-Brown walks in with their first ""real"" case. Mrs. Laggat-Brown's daughter has received a death threat, and when Agatha thwarts an attack on the girl at a dinner dance, she recognizes an opportunity to show what Raisin Investigations can do. Even better, the case gives her a chance to reunite with her long-absent friend, Sir Charles Fraith. As they scour the Cotswolds in search of leads, Charles' insights prove invaluable and his charms irresistible, leading poor Emma to fall madly in love with him. As ever, Agatha bumbles her way through the case, trying her friends' patience and flirting shamelessly with the chief suspect. Will she put her tiny agency on the map, or has even the outrageous Agatha finally bitten off more than she can chew?",N/A,N/A,en
Dead Man's Folly,['Agatha Christie'],1983,['Mystery'],N/A,N/A,N/A,en
Fractured,['Karin Slaughter'],2009,['Fiction'],"Discover second book in the gripping Will Trent series, from the Sunday Times bestselling crime and thriller author. 'Her characters, plot, and pacing are unrivalled' MICHAEL CONNELLY 'One of the boldest thriller writers working today!' TESS GERRITSEN Now a major TV Series on Disney+ ----------- When Atlanta housewife Abigail Campano comes home one afternoon, she walks into a nightmare. A broken window, a bloody footprint on the stairs and her teenage daughter lying dead on the landing, a man standing over her with a knife. The struggle which follows changes Abigail's life forever. Now, in the relentless heat of a Georgia summer, Special Agent Will Trent must find the brutal killer who has targeted one of Atlanta's wealthiest, most privileged communities - before it's too late... ----------- Crime and thriller masters know there's nothing better than a little Slaughter- 'Passion, intensity, and humanity' LEE CHILD 'I'd follow her anywhere' GILLIAN FLYNN 'A writer of extraordinary talents!!' KATHY REICHS 'Fiction does not get any better than this' JEFFERY DEAVER 'A great writer at the peak of her powers' PETER JAMES 'Raw, powerful and utterly gripping' KATHRYN STOCKETT 'With heart and skill Karin Slaughter keeps you hooked from the first page until the very last' CAMILLA LACKBERG 'Amongst the world's greatest and finest crime writers' YRSA SIGUR ARD TTIR Karin Slaughter, Sunday Times bestseller, July 2023",N/A,N/A,en
