title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Tales from Earthsea,['Ursula K. Le Guin'],2002,['Fiction'],"Exploring the legend of Earthsea's history, people, languages, literature, and magic, this collection of four magical stories is now available in a paperback edition.",4,N/A,en
"Over Sea, Under Stone",['Susan Cooper'],2023-11-14,['Juvenile Fiction'],"Part of Cooper's Dark Is Rising fantasy, ""Over Sea, Under Stone"" is now available in this digest edition.",N/A,N/A,en
"The Lion, the Witch and the Wardrobe",['Clive Staples Lewis'],1950,['Juvenile Fiction'],"The best-selling rack edition of The Lion, the Witch and the Wardrobe now has a movie still cover and an eight-page movie still insert! ""Excellent for Homeschool Use""",N/A,N/A,en
Tehanu,['Ursula K. Le Guin'],2012-09-11,['Juvenile Fiction'],"When Sparrowhawk, the Archmage of Earthsea, returns from the dark land stripped of his magic powers, he finds refuge with the aging widow Tenar and a crippled girl child who carries an unknown destiny.",N/A,N/A,en
Harry Potter and the Philosopher's Stone,['J. K. Rowling'],2004-10-04,['England'],"""Funny, imaginative, magical ... Rowling has woken up a whole generation to reading. In the 2020s, thirty-something book-lovers will know each other by smug references to Diagon Alley and Quidditch."" -The TimesWhen a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Escaping from his unbearable Muggle guardians to Hogwarts, a wizarding school brimming with ghosts and enchantments, Harry stumbles into a sinister adventure when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers which could be valuable, dangerous, or both.""This is a terrific book."" -Sunday Telegraph""Has all the makings of a classic ... Rowling uses classic narrative devices with flair and originality and delivers a complex and demanding plot in the form of a hugely entertaining thriller."" -Scotsman""And you thought wizardry was for children. Harry Potter will make you think again. He casts his spells on grown-ups too."" -James Naughtie""Full of surprises and jokes; comparisons with Dahl are, this time, justified."" -Sunday Times",5,N/A,en
Lives of the Necromancers,['William Godwin'],1835,['Fiction'],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,N/A,N/A,en
The Magic Finger,['Roald Dahl'],1974,['Juvenile Fiction'],"Angered by a neighboring family's sport hunting, an eight-year-old girl turns her magic finger on them.",N/A,N/A,en
Harry Potter and the Chamber of Secrets,['J. K. Rowling'],1999,['Juvenile Fiction'],"Witchcraft, wizardry - fiction.",5,N/A,en
Making Money,['Terry Pratchett'],2007-09-18,['Fiction'],"The Ankh-Morpork Post Office is running like . . . well, not at all like a government office. The mail is delivered promptly; meetings start and end on time; five out of six letters relegated to the Blind Letter Office ultimately wend their way to the correct addresses. Postmaster General Moist von Lipwig, former arch-swindler and confidence man, has exceeded all expectations—including his own. So it's somewhat disconcerting when Lord Vetinari summons Moist to the palace and asks, ""Tell me, Mr. Lipwig, would you like to make some real money?"" Vetinari isn't talking about wages, of course. He's referring, rather, to the Royal Mint of Ankh-Morpork, a venerable institution that haas run for centuries on the hereditary employment of the Men of the Sheds and their loyal outworkers, who do make money in their spare time. Unfortunately, it costs more than a penny to make a penny, so the whole process seems somewhat counterintuitive. Next door, at the Royal Bank, the Glooper, an ""analogy machine,"" has scientifically established that one never has quite as much money at the end of the week as one thinks one should, and the bank's chairman, one elderly Topsy (née Turvy) Lavish, keeps two loaded crossbows at her desk. Oh, and the chief clerk is probably a vampire. But before Moist has time to fully consider Vetinari's question, fate answers it for him. Now he's not only making money, but enemies too; he's got to spring a prisoner from jail, break into his own bank vault, stop the new manager from licking his face, and, above all, find out where all the gold has gone—otherwise, his life in banking, while very exciting, is going to be really, really short. . . .",N/A,N/A,en
The Waste Lands,['Stephen King'],1993,['Fiction'],"Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",N/A,N/A,en
The Farthest Shore,['Ursula K. Le Guin'],2012-09-11,['Juvenile Fiction'],"When the prince of Enlad declares the wizards have forgotten their spells, Ged sets out to test the ancient prophecies of Earthsea.",N/A,N/A,en
The Lives of Christopher Chant,['Diana Wynne Jones'],2000,['Juvenile Fiction'],"The childhood of Chrestomanci. Everything in this book happens at least twenty-five years before the story told in Charmed Life... Discovering that he has nine lives and is destined to be the next 'Chrestomanci' is not part of Christopher's plans for the future: he'd much rather play cricket and wander around his secret dream worlds. But he soon finds that destiny is difficult to avoid, and that having more than the usual number of lives is pretty inconvenient - especially when you lose them as easily as he does! Then an evil smuggler, known only as The Wraith, threatens the ways of the worlds and forces Christopher to take action...",N/A,N/A,en
Harry Potter and the Goblet of Fire,['J. K. Rowling'],2010-11-01,[],"The summer holidays are dragging on and Harry Potter can't wait for the start of the school year. It is his fourth year at Hogwarts School of Witchcraft and Wizardry and there are spells to be learnt and (unluckily) Potions and Divination lessons to be attended. But Harry needs to be on his guard at all times - his worst enemy is preparing a terrible fate for him. With characteristic wit, fast-paced humour and marvellous emotional depth, J.K. Rowling has proved herself yet again to be a master storyteller.",N/A,N/A,en
Science and the Secrets of Nature,['William Eamon'],1996-06-02,['History'],"In closely examining this rich but little-known source of literature, Eamon reveals that printing technology and popular culture had as great, if not stronger, an impact on early modern science as did the traditional academic disciplines. Medieval interest in the secrets of nature was spurred in part by ancient works such as Pliny's Natural History. As medieval experimenters adapted ancient knowledge to their changing needs, they created their own books of secrets, which expressed the uncritical, empiricist approach of popular culture rather than the subtle argumentation of scholastic science. The crude experimental methodology advanced by the ""professors of secrets"" became for the ""new philosophers"" of the seventeenth century a potent ideological weapon in the challenge of natural philosophy.",5,N/A,en
The Dark Tower I,['Stephen King'],2017-06-13,['Fiction'],Originally published in 1982 by Donald M. Grant.,4,N/A,en
Finn Family Moomintroll,['Tove Jansson'],2010-04-27,['Juvenile Fiction'],"Moomintroll and his friends, Snufkin and Sniff, find a hat with magical powers.",N/A,N/A,en
Thumbelina,['Hans Christian Andersen'],1961,['Juvenile Fiction'],"Full of fantasy and wonder, these enduring classics are a must for every child's library. These stories, along with sparkling illustrations, will capture children's imagination and inspire a love of reading that is vital to success in school and life. Each book features holographic foil stamping. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
Stardust Movie Tie-in Teen Edition,['Neil Gaiman'],2007-06-26,['Fiction'],Age 12-14.,4,N/A,en
The Magical Worlds of Harry Potter,['David Colbert'],2004,['Fiction'],"Explores the true history, folklore and mythology behind the magical practices, creatures, and personalities that appear in J.K. Rowling's Harry Potter books.",N/A,N/A,en
Stardust,['Neil Gaiman'],2004,['Juvenile Fiction'],N/A,4,N/A,it
Lord of Shadows,['Cassandra Clare'],2017-05-23,['Juvenile Fiction'],"Emma is torn between her passion for Julian and her need to protect him from the consequences of a forbidden romantic partnership, a situation challenged by her relationship with Mark and his efforts to regain his Shadowhunter capabilities.",N/A,N/A,en
The Illustrated Man,['Ray Bradbury'],1951,['Fiction'],Eighteen science fiction stories.,N/A,N/A,en
The Book of Wizardry,['Cornelius Rumstuckle'],2003,['Juvenile Nonfiction'],"Gives the twenty-two secrets for becoming a Wizard, including how to make a wand, read an oracle, and achieve member status in the Wizards' Guild.",5,N/A,en
Six of Crows,['Leigh Bardugo'],2018-02-06,['Brigands and robbers'],"Six dangerous outcasts and one impossible heist. Kaz's crew is the only thing that might stand between the world and destruction, if the crew members don't kill each other first.",N/A,N/A,en
Howl's Moving Castle,['Diana Wynne Jones'],2009,['Juvenile Fiction'],A new look for one of Diana Wynne Jones' funniest and most popular novels.,N/A,N/A,en
The Hobbit,['J. R. R. Tolkien'],2013,['Adventure fiction'],"Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely travelling further than the pantry of his hobbit-hole in Bag End. But his contentment is disturbed when the wizard, Gandalf, and a company of 13 dwarves arrive on his doorstep one day to whisk him away on an unexpected journey 'there and back again'.",N/A,N/A,en
The Bottle Imp,['Robert Louis Stevenson'],1996,['Hawaii'],Keawe buys a magic bottle which brings him all that he desires but which he must sell before he dies in order to avoid spending eternity in hell.,N/A,N/A,en
Harry Potter and the Philosopher's Stone - Ravenclaw Edition,['J. K. Rowling'],2017-06,"[""Children's stories""]","Gryffindor, Slytherin, Hufflepuff, Ravenclaw ... Twenty years ago these magical words and many more flowed from a young writer's pen, an orphan called Harry Potter was freed from the cupboard under the stairs - and a global phenomenon started. Harry Potter and the Philosopher's Stone has been read and loved by every new generation since. To mark the 20th anniversary of first publication, Bloomsbury has published four House Editions of J.K. Rowling's modern classic. These stunning editions each feature the individual house crest on the jacket and line illustrations exclusive to that house, by Kate Greenaway Medal winner Levi Pinfold. Exciting new extra content includes fact files and profiles of favourite characters, and each book has sprayed edges in the house colours. Available for a limited period only, these highly collectable editions are a must-have for all Harry Potter fans.",N/A,N/A,en
The Golden Bough,['James George Frazer'],1925,['Magic'],N/A,N/A,N/A,en
Prince Caspian,['Clive Staples Lewis'],2005,['Fiction'],Four children help Prince Caspian and his army of Talking Beasts to free Narnia from evil.,N/A,N/A,en
Queen of Sorcery,['David Eddings'],1982,['Fiction'],The master Sorcerer Belgarath and his daughter are on the trail of the stolen Orb.,N/A,N/A,en
The Golden Bough,['Sir James George Frazer'],1929,['Magic'],N/A,N/A,N/A,en
The Marvelous Land of Oz,['Lyman Frank Baum'],1904,['Conduct of life'],"Tip and his creation, Jack Pumpkin, run away to Oz where they save the city after it is captured by girls.",N/A,N/A,en
Harry Potter and the Half-Blood Prince - Gryffindor Edition,['J. K. Rowling'],2021,['Juvenile Fiction'],"Suspicion and fear blow through the wizarding world as news of the Dark Lord's attack on the Ministry of Magic spreads. Harry has not told anyone about the future predicted by the prophecy in the Department of Mysteries, nor how deeply what happened to Sirius Black affected him. He's desperate for Professor Dumbledore to arrive and take him away from the Dursley's but Hogwarts may not be the safe haven from Voldemort's Dark Forces that it once was. In his sixth year, the names Black, Malfoy, Lestrange and Snape will haunt Harry with shades of trust and treachery as he discovers the secret behind the mysterious Half-Blood Prince and Dumbledore prepares him to face his own terrifying destiny.",N/A,N/A,en
Harry Potter and the Goblet of Fire - Gryffindor Edition,['J. K. Rowling'],2020-01-23,['Juvenile Fiction'],"Harry Potter joins the Weasleys at the Quidditch World Cup, then enters his fourth year at Hogwarts Academy where he is mysteriously entered in an unusual contest that challenges his wizarding skills, friendships and character, amid signs that an old enemy is growing stronger. Harry's fouth year is packed with more great Gryffindor moments and characters... Look inside to discover more Gryffindor-themed features and illustrations by Levi Pinfold.",N/A,N/A,en
Harry Potter and the Half-Blood Prince,['J. K. Rowling'],2007,['Juvenile Fiction'],"Sixth-year Hogwarts student Harry Potter gains valuable insights into the boy Voldemort once was, even as his own world is transformed by maturing friendships, schoolwork assistance from an unexpected source, and devastating losses.",5,N/A,en
The Magicians of Caprona,['Diana Wynne Jones'],2000,['Juvenile Fiction'],"In the worlds of Chrestomanci, anything can happen. This adventure takes place in the Italian Dukedom of Caprona, where spells are as slippery and as tricksy as spaghetti Casa Montana and Casa Petrocchi look after the magical business in the Dukedom of Caprona, watched over by its magnificent guardian statue, the Angel. The families have been feuding for years, so when all the spells start going wrong, each naturally blames the other. Then young Tonino Montana and Angelica Petrocchi disappear. Could the terrible rumours of a White Devil who threatens Caprona be true after all?",N/A,N/A,en
Harry Potter y el prisionero de Azkaban,['J. K. Rowling'],2000,['Schools'],"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.",N/A,N/A,es
Harry Potter and the Chamber of Secrets,"['J. K. Rowling', 'Joe Vaux']",2002,['Juvenile Fiction'],"Pop-up illustrations present scenes from the second of the Harry Potter books, including a book signing by Gilderoy Lockhart, the ghosts' ball, and an encounter with giant spiders.",5,N/A,en
A Wizard of Earthsea,['Ursula K. Le Guin'],1991,['Fantasy fiction'],"In print for more than three decades and translated into dozens of languages, here is the audio release of the first book in The Earthsea Trilogy. This is a tale of wizards, dragons, and shadows, played in an archipelago of imagined islands. The young boy Sparrowhawk becomes apprentice to a Master Wizard; but impatience to learn faster takes him far from home to Roke Island, where he enters the School for Wizards. As a student of magic, Sparrowhawk exceeds his years in accomplishment, but pride and jealousy drive the boy to try certain dangerous powers too soon. A terrible evil is let loose in the land.",N/A,N/A,en
Brida,['Paulo Coelho'],2008,['Fiction'],"The spellbinding new novel from one of the world's best-loved authors, Paulo Coelho, recounting the story of Brida, and her pursuit of wisdom.",N/A,N/A,en
Harry Potter and the Sorcerer's Stone,['J. K. Rowling'],2015,['JUVENILE FICTION'],"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",N/A,N/A,en
Harry Potter and the Half-Blood Prince - Hufflepuff Edition,['J. K. Rowling'],2021-01-21,['Juvenile Fiction'],"Suspicion and fear blow through the wizarding world as news of the Dark Lord's attack on the Ministry of Magic spreads. Harry has not told anyone about the future predicted by the prophecy in the Department of Mysteries, nor how deeply what happened to Sirius Black affected him. He's desperate for Professor Dumbledore to arrive and take him away from the Dursley's but Hogwarts may not be the safe haven from Voldemort's Dark Forces that it once was. In his sixth year, the names Black, Malfoy, Lestrange and Snape will haunt Harry with shades of trust and treachery as he discovers the secret behind the mysterious Half-Blood Prince and Dumbledore prepares him to face his own terrifying destiny.",N/A,N/A,en
Harry Potter and the Half-Blood Prince,['J. K. Rowling'],2005,['Hogwarts School of Witchcraft and Wizardry (Imaginary organization)'],Adult-jacket edition of Stephen Fry's unabridged reading of the sixth book in the internationally bestselling series.,N/A,N/A,en
Harry Potter and the Prisoner of Azkaban,['J. K. Rowling'],2000,['Juvenile Fiction'],"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.",N/A,N/A,en
The Ogre Downstairs,['Diana Wynne Jones'],2003,['Juvenile Fiction'],"When a disagreeable man with two boys marries a widow with three children, family adjustments are complicated by two magic chemistry sets which cause strange things to happen around the house.",N/A,N/A,en
The Magician's Nephew,['Clive Staples Lewis'],1955,['Juvenile Fiction'],Our hardcover and paperback digest editions of THE CHRONICLES OF NARNIA are now graced with new jacket and cover art by 2-time Caldecott medalist David Wiesner.,N/A,N/A,en
The Tales of Beedle the Bard,"['J. K. Rowling', 'Emma Nicholson']",2008,"[""Children's stories, English""]","""The Tales of Beedle the Bard, a Wizarding classic, first came to Muggle readers' attention in the book known as Harry Potter and the Deathly Hallows. Now, thanks to Hermione Granger's new translation from the ancient runes, we present this stunning edition with an introduction, notes, and illustrations by J.K. Rowling, and extensive commentary by Albus Dumbledore. Never before have Muggles been privy to these richly imaginative tales: ""The Wizard and the Hopping Pot,"" ""The Fountain of Fair Fortune,"" ""The Warlock's Hairy Heart,"" ""Babbitty Rabbitty and Her Cackling Stump,"" and of course, ""The Tale of the Three Brothers.""--Publisher description.",4,N/A,en
The Spellcoats,['Diana Wynne Jones'],1979,['Juvenile Fiction'],Tanaqui discovers she has the only means to conquer the evil Kankredin who threatens her own people and the Heathens who have invaded prehistoric Dalemark.,N/A,N/A,en
Inkheart,['Cornelia Funke'],2008,['Bookbinders'],"Meggie loves books. So does her father, Mo, a bookbinder, although he has never read aloud to her since her mother mysteriously disappeared. They live quietly until the night a stranger knocks at their door. He has come with a warning that forces Mo to reveal an extraordinary secret - a storytelling secret that will change their lives forever.",4,N/A,en
Harry Potter and the Prisoner of Azkaban: The Illustrated Edition,['J. K. Rowling'],2017-10-03,['Juvenile Fiction'],"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort. Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts . . . he's at Hogwarts."" Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst.",N/A,N/A,en
The Stone Light,['Kai Meyer'],2007-10-16,['Juvenile Fiction'],"With startling revelations and betrayal lurking in unexpected places, Merle and Serafin learn that evil may take many shapes, in this breathtaking sequel to ""The Water Mirror.""",3,N/A,en
Red Sister,['Mark Lawrence'],2017,['Fiction'],"The international bestselling author of the Broken Empire and the Red Queen's War trilogies begins a stunning epic fantasy series about a secretive order of holy warriors... At the Convent of Sweet Mercy, young girls are raised to be killers. In some few children the old bloods show, gifting rare talents that can be honed to deadly or mystic effect. But even the mistresses of sword and shadow don't truly understand what they have purchased when Nona Grey is brought to their halls. A bloodstained child of nine falsely accused of murder, guilty of worse, Nona is stolen from the shadow of the noose. It takes ten years to educate a Red Sister in the ways of blade and fist, but under Abbess Glass's care there is much more to learn than the arts of death. Among her class Nona finds a new family--and new enemies. Despite the security and isolation of the convent, Nona's secret and violent past finds her out, drawing with it the tangled politics of a crumbling empire. Her arrival sparks old feuds to life, igniting vicious struggles within the church and even drawing the eye of the emperor himself. Beneath a dying sun, Nona Grey must master her inner demons, then loose them on those who stand in her way.",N/A,N/A,en
The Magic Strings of Frankie Presto,['Mitch Albom'],2017,['Guitarists'],"At nine years old, Frankie Presto is sent to America in the bottom of a boat, his only possession an old guitar and six precious strings. Frankie's ability is unique, and his amazing journey weaves him through the musical landscape of the twentieth century, with his stunning talent impacting upon numerous stars along the way, including Elvis Presley, Carole King and even KISS. Frankie becomes a pop star himself. He makes records. He is adored. But his gift is also his burden, as he realises: through his music, he can actually affect people's futures - with one string turning blue whenever a life is altered. Then, at the height of his popularity, Frankie Presto vanishes, and his legend grows. Only decades later does he reappear to change one last life...",N/A,N/A,en
Crown of Midnight,['Sarah J. Maas'],2013,['Juvenile Fiction'],"Eighteen-year-old Celaena Sardothien is bold, daring and beautiful - the perfect seductress and the greatest assassin her world has ever known. But though she won the King's contest and became his champion, Celaena has been granted neither her liberty nor the freedom to follow her heart. The slavery of the suffocating salt mines of Endovier that scarred her past is nothing compared to a life bound to her darkest enemy, a king whose rule is so dark and evil it is near impossible to defy. Celaena faces a choice that is tearing her heart to pieces: kill in cold blood for a man she hates, or risk sentencing those she loves to death. Celaena must decide what she will fight for: survival, love or the future of a kingdom. Because an assassin cannot have it all ...And trying to may just destroy her. Love or loathe Celaena, she will slice open your heart with her dagger and leave you bleeding long after the last page of this New York Times bestselling sequel, in what is undeniably THE hottest new fantasy series.",N/A,N/A,en
Harry Potter and the Order of the Phoenix,['J. K. Rowling'],2014-09-01,['Fiction'],"Celebrate 20 years of Harry Potter magic! Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",5,N/A,en
Enchanters' End Game,['David Eddings'],1984,['Fiction'],"The conclusion of the Belgariad series sees Garion crowned as Overlord of the West, as in the East, the evil God Torak is about to awaken and challenge Garion's rule",N/A,N/A,en
Inkheart,['Cornelia Caroline Funke'],2005-05-30,['Juvenile Fiction'],"One cruel night, Meggie's father, Mo, reads aloud from Inkheart and an evil ruler named Capricorn escapes the boundaries of fiction and lands in the middle of their living room.",4.5,N/A,en
Fourth Wing,['Rebecca Yarros'],2023-05-02,['Fiction'],"As war grows more deadly, Violet Sorrengail joins the elite Navarre: the dragon riders. But she'll need to keep her wits because once you enter the Basgiath War College, there are only two ways out: graduate or die.",N/A,N/A,en
"Harry Potter and the Cursed Child, Parts I and II (Special Rehearsal Edition): T","['Jack Thorne', 'J. K. Rowling', 'John Tiffany']",2017-07-25,['Juvenile Nonfiction'],"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on sta",1,N/A,en
Matilda,['Roald Dahl'],2024-01-30,['Fiction'],"""A true genius . . . Roald Dahl is my hero"" David Walliams Matilda's parents have called her some terrible things, but the truth is she's a genius and they're the stupid ones. Underestimating Matilda proves to be a big mistake as they, along with her spiteful headmistress, Miss Trunchbull, soon find out when Matilda discovers she has a very special power.",N/A,N/A,en
Harry Potter and the Sorcerer's Stone,['Jill Daniels'],2001,['Juvenile Fiction'],"Pop-up illustrations present scenes from the first of the ""Harry Potter"" books, including Hogwarts School, a quidditch match, and the Mirror of Erised.",N/A,N/A,en
The Horse and His Boy,['Clive Staples Lewis'],2002-03-05,['Animals'],A boy and a talking horse share an adventurous and dangerous journey to Narnia to warn of invading barbarians.,N/A,N/A,en
The Neverending Story,"['Michael Ende', 'Ralph Manheim']",1985,"[""Children's stories""]","Small, fat Bastian Balthazar Bux is nobody's idea of a hero, least of all his own, until he finds himself stepping through the pages of a mysterious book into the world of Fantastica! Age 9+ 148 pages",N/A,N/A,en
Charlie and the Chocolate Factory,['Roald Dahl'],2005,['Juvenile Fiction'],Each of five children lucky enough to discover an entry ticket into Mr. Willy Wonka's mysterious chocolate factory takes advantage of the situation in his own way.,4,N/A,en
Eragon,['Christopher Paolini'],2003,['Juvenile Fiction'],"Beautifully written and taut with suspense, ""Eragon"" is the first installment in an epic fantasy trilogy about a 15-year-old farm boy who discovers his destiny as a Dragon Rider.",N/A,N/A,en
The Seeing Stone,"['Tony DiTerlizzi', 'Holly Black']",2013-05-07,['Juvenile Fiction'],"When Mallory and Jared attempt to rescue Simon from goblins, they use a magical stone which enables them to see things that are normally invisible.",N/A,N/A,en
The Subtle Knife,['Philip Pullman'],2007,['Juvenile Fiction'],"""Deluxe 10th-anniversary edition""--Jacket.",N/A,N/A,en
A Game of Thrones,['George R. R. Martin'],2011,['Fantasy fiction'],"A master of contemporary fantasy presents the first volume in a magnificent cycle of novels that includes ""A Clash of Kings"" and ""A Storm of Swords""--a series filled with mystery, intrigue, romance, and adventure.",N/A,N/A,en
A Storm of Swords,['George R. R. Martin'],2000,['Fantasy fiction'],"Split into two books for the paperback, the third volume in George R.R. Martin's superb and highly acclaimed epic fantasy A Song of Ice and Fire continues the richest, most exotic and mesmerising saga since The Lord of the Rings. The Seven Kingdoms are divided by revolt and blood feud, and winter approaches like an angry beast. Beyond the Northern borders, wildlings leave their villages to gather in the ice and stone wasteland of the Frostfangs. From there, the renegade Brother Mance Rayder will lead them South towards the Wall. Robb Stark wears his new-forged crown in the Kingdom of the North, but his defences are ranged against attack from the South, the land of House Stark's enemies the Lannisters. His sisters are trapped there, dead or likely yet to die, at the whim of the Lannister boy-king Joffrey or his depraved mother Cersei, regent of the Iron Throne. And Daenerys Stormborn will return to the land of her birth to avenge the murder of her father, the last Dragon King on the Iron Throne.",N/A,N/A,en
Witchlight,['L.J. Smith'],2017-08,['Young Adult Fiction'],"Shapeshifter Keller meets her match in Iliana Dominick, who might be the legendary Witch Child--and a rival for Kellen's affection for Galen--but Kellen resists her animosity to convince Iliana to join Circle Daybreak.",N/A,N/A,en
James and the Giant Peach,['Roald Dahl'],2001,['Juvenile Fiction'],"When James Henry Trotter accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. Then James discovers a secret entranceway into the fruit, and when he crawls inside, he meets a bunch of marvelous oversized friends -- Old-Green-Grasshopper, Centipede, Ladybug, Miss Spider, and more. After years of feeling like an outsider in the house of his despicable Aunt Sponge and Aunt Spiker, James has finally found a place where he belongs. With a snip of the stem, the peach starts rolling away, and the exciting adventure begins!",5,N/A,en
‏هيرى پوٹر اور رازوں کا کمره :‏,"['J. K. Rowling', 'Darakhshanda Asghar Khokhar']",2004,['Juvenile Fiction'],An Urdu language edition of the second Harry Potter tale.,4,N/A,ur
The Name of the Wind,['Patrick Rothfuss'],2007-03-27,['Fiction'],Kvothe spends his life fighting hidden and familiar foes while struggling to master his magical powers and battle ancient evils that threaten his world.,N/A,N/A,en
The Witch's Revenge,['Christopher Pike'],2015-02-03,['Juvenile Fiction'],"Encounter witchly wonders in this sixth book in New York Times bestselling author Christopher Pike’s Spooksville series—now on TV! The time has come for Adam and his friends to again face Spooksville’s most powerful citizen, Ms. Ann Templeton. Sally says the woman is definitely a witch, but Adam and Watch are not so certain. To find the truth, they visit her castle together. There they find both good and bad: creatures more horrible than anything they could imagine, but also magical tools that can create the most wonderful things. But will these tools help Adam and his friends? Or are they just instruments to trick them and make them slaves of the mysterious Ann Templeton?",N/A,N/A,en
The Wonderful Story of Aladdin and the Enchanted Lamp,['Philip Pullman'],1995,['Aladdin (Legendary character)'],"A retelling of the tale of the poor tailor's son, his widowed mother, the lamp, and the genie. Suggested level: intermediate, junior secondary.",N/A,N/A,en
The Nixie's Song,"['Tony DiTerlizzi', 'Holly Black']",2023-02-21,['Juvenile Fiction'],"Eleven-year-old Nicholas Vargas's life is turned upside-down when his father remarries and moves him and his new family to Florida; but when an expedition to a nearby lake turns up a little nixie, Nick, his brother Julian, and step-sister Laurie have to figure out a way to stop a horde of rampaging giants.",N/A,N/A,en
