title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Sometimes It Lasts,['Abbi Glines'],2014-06-03,['Fiction'],"Enduring a long-distance relationship with the beautiful but hot-tempered Eva after landing a baseball scholarship, Cage resolves to prove his worth when he learns that Eva has been consoling herself in the arms of another man.",N/A,N/A,en
North and South,['Elizabeth Cleghorn Gaskell'],1975,['Fiction'],"As relevant now as when it was first published, Elizabeth Gaskell's North and South skilfully weaves a compelling love story into a clash between the pursuit of profit and humanitarian ideals. This Penguin Classics edition is edited with an introduction by Patricia Ingham. When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the North of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of local mill workers and develops a passionate sense of social justice. This is intensified by her tempestuous relationship with the mill-owner and self-made man John Thornton, as their fierce opposition over his treatment of his employees masks a deeper attraction. In North and South Gaskell skilfully fused individual feeling with social concern, and in Margaret Hale created one of the most original heroines of Victorian literature. In her introduction Patricia Ingham examines Elizabeth Gaskell's treatment of geographical, economic and class differences, and the male and female roles portrayed in the novel. This edition also includes further reading, notes and a useful glossary. Elizabeth Gaskell (1810-65) was born in London, but grew up in the north of England in the village of Knutsford. In 1832 she married the Reverend William Gaskell and had four daughters, and one son who died in infancy. Her first novel, Mary Barton, was published in 1848, winning the attention of Charles Dickens, and most of her later work was published in his journals, including Cranford (1853), serialised in Dickens's Household Words. She was also a lifelong friend of Charlotte Bront�, whose biography she wrote. If you enjoyed North and South, you might like Jane Austen's Persuasion, also available in Penguin Classics. '[An] admirable story ... full of character and power' Charles Dickens",N/A,N/A,en
Sense and Sensibility,['Jane Austen'],2012-01-31,['Books and reading'],Classics with legible texts you can actually read at a fantastic price.,N/A,N/A,en
Because of Low,['Abbi Glines'],2013-07-02,['Fiction'],"Originally self-published as an e-book, 2012.",N/A,N/A,en
Sons and Lovers,['David Herbert Lawrence'],1977,['Fiction'],A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.,N/A,N/A,en
Impossible,['Danielle Steel'],2005,['Art dealers'],"Brought together by their mutual interest in art, Sasha, a widowed art gallery owner with grown children, and Liam, a successful artist nine years her junior, find new meaning in their lives through their relationship with each other.",N/A,N/A,en
The Viscount Who Loved Me,['Julia Quinn'],2022-05-24,['Fiction'],"# 1 New York Times Bestseller The inspiration for season two of BRIDGERTON, a series created by Shondaland for Netflix, from #1 New York Times bestselling author Julia Quinn: the story of Anthony Bridgerton in the second of her beloved Regency-set novels featuring the charming, powerful Bridgerton family. ANTHONY'S STORY This time the gossip columnists have it wrong. London's most elusive bachelor Anthony Bridgerton hasn't just decided to marry--he's even chosen a wife! The only obstacle is his intended's older sister, Kate Sheffield--the most meddlesome woman ever to grace a London ballroom. The spirited schemer is driving Anthony mad with her determination to stop the betrothal, but when he closes his eyes at night, Kate's the woman haunting his increasingly erotic dreams... Contrary to popular belief, Kate is quite sure that reformed rakes do not make the best husbands--and Anthony Bridgerton is the most wicked rogue of them all. Kate's determined to protect her sister--but she fears her own heart is vulnerable. And when Anthony's lips touch hers, she's suddenly afraid she might not be able to resist the reprehensible rake herself...",N/A,N/A,en
Daughter of the Forest,['Juliet Marillier'],2000,['Fiction'],"To reclaim the lives of her brothers, Sorcha leaves the only safe place she has known and starts on a journey of pain, loss, and terror.",4.5,N/A,en
Esio Trot,['Roald Dahl'],2013,"[""Children's stories""]","Mr Hoppy loves Mrs Silver. Mrs Silver loves Alfie the tortoise. Sometimes Mr Happy wishes he could become a tortoise. Until one day he finds a way to win Mrs Silver's heart, with the help of a little magic and some cabbage . . .",N/A,N/A,en
A Secret Affair,['Barbara Taylor Bradford'],1996,['Fiction'],"Written in the same small format as her bestselling Love in Another Town, Barbara Taylor Bradford's newest novel tells the story of an illicit, fate ful affair. When a respected American TV newsman and a young artist meet in Venice and fall in love, the only hope for sustaining their relationship is via a series of planned rendezvous. A Secret Affair tells their moving story.",N/A,N/A,en
The Missing Sister,['Lucinda Riley'],2021-04-29,[],"From Sunday Times No.1 bestselling author Lucinda Riley comes the latest installment in the epic multimillion-selling series, The Seven Sisters. The story of Merope, the missing sister, is waiting to be told . . . Following Georg Hoffman's revelation that he may have found The Missing Sister, Maia and Ally discover that all they have to go on is an address of a vineyard in New Zealand, plus a drawing of an unusual star-shaped emerald ring. Deciding that CeCe, who lives in Australia, is the closest, they send her to investigate with her partner, Chrissie. So begins a race against time to identify the Missing Sister, so she can join her sisters on The Titan to lay a wreath at a spot on the Aegean Sea where Ally last saw Pa Salt's boat. It's a race that takes them across the globe, as Mary McDougal, the woman who has the emerald ring that can confirm for certain if her daughter, Mary-Kate, is the Missing Sister, has embarked on a world tour after the death of her husband. As each sister takes their turn to trace her in New Zealand, Canada, England, France and Ireland, the elusive Mary manages to slip through their fingers, and it seems that she does not want to be found...",N/A,N/A,en
Captivated,['Nora Roberts'],2004-01-25,['Fiction'],His interest in her was purely professional ... or so he told himself.,4,N/A,en
Northanger Abbey,['Jane Austen'],2012-01-01,['Books and reading'],Classics with legible texts you can actually read at a fantastic price.,N/A,N/A,en
A Beautiful Wedding,['Jamie McGuire'],2014-11-25,['Fiction'],"""You know that Abby Abernathy unexpectedly became Mrs. Maddox. But what do you really know? Why did Abby pop the question? What secrets were shared before the ceremony? Where did they spend their wedding night? Who else knew about it . . . and didn't tell? Everything about Abby and Travis's elopement was top-secret . . . until now. Fans of ""Beautiful Disaster"" and ""Walking Disaster"" will get all of their questions answered in this whirlwind tale of the wedding day (and night)...""--Provided by publisher.",N/A,N/A,en
Spirit Bound,['Richelle Mead'],2010,['Boarding school students'],"The international number 1 bestselling Vampire Academy series by Richelle Mead is now a major motion picture. Read it before it hits cinemas in 2014! SALVATION HAS ITS PRICE . . . Fall in love with Rose and Dimitri all over again in Spirit Bound, the anticipated fifth novel in Richelle Mead's enthralling Vampire Academy series. After a long and heartbreaking journey to Siberia, Dimitri's birthplace, Rose Hathaway has finally returned to St. Vladimir's - and to her best friend, Lissa Dragomir. It's graduation, and the girls can't wait for their real lives outside the Academy's cold iron gates to finally begin. But even with the intrigue and excitement of court life looming, Rose's heart still aches for Dimitri. He's out there, somewhere. She failed to kill him when she had the chance, and now her worst fears are about to come true. Dimitri has tasted her blood, and she knows in her heart that he is hunting her. And if Rose won't join him, he won't rest until he has silenced her . . . forever. But Rose can't forget what she learned on her journey - whispers of a magic too impossible and terrifying to comprehend. A magic inextricably tied to Lissa that could hold the answer to all of Rose's prayers, but not without devastating consequences. Now Rose will have to decide what - and who - matters most to her. And in the end, is true love really worth the price? penguinteenaustralia.com",4.5,N/A,en
The Copper Beech,['Maeve Binchy'],1992,['Fiction'],"In the Irish town of Schancarrig, the young people carve their initials--and those of their loves-into the copper beech tree in front of the schoolhouse. But not even Father Gunn, the parish priest, who knows most of what goes on behind Shancarrig's closed doors, or Dr. Jims, the village doctor, who knows all the rest, realizes that not everything in the placid village is what it seems.",3,N/A,en
The Storm Sister,['Lucinda Riley'],2019-03-21,['Fiction'],"Ally D'Aplièse is about to compete in one of the world's most perilous yacht races, when she hears the news of her adoptive father's sudden, mysterious death. Rushing back to meet her five sisters at their family home, she discovers that her father - an elusive billionaire affectionately known to his daughters as Pa Salt - has left each of them a tantalising clue to their true heritage. Ally has also recently embarked on a deeply passionate love affair that will change her destiny forever. But with her life now turned upside down, Ally decides to leave the open seas and follow the trail that her father left her, which leads her to the icy beauty of Norway . . . There, Ally begins to discover her roots - and how her story is inextricably bound to that of a young unknown singer, Anna Landvik, who lived there over a hundred years before, and sang in the first performance of Grieg's iconic music set to Ibsen's play 'Peer Gynt'. As Ally learns more about Anna, she also begins to question who her father, Pa Salt, really was. And why is the seventh sister missing?Following the bestselling The Seven Sisters, The Storm Sister is the second book in Lucinda Riley's spellbinding series based loosely on the mythology surrounding the famous star constellation.",N/A,N/A,en
The Spanish Love Deception,['Elena Armas'],2022-02-08,['Fiction'],"A wedding. A trip to Spain. The most infuriating man. And three days of pretending. Or in other words, a plan that will never work. Catalina Marti ́n, finally, not single. Her family is happy to announce that she will bring her American boyfriend to her sister's wedding. Everyone is invited to come and witness the most magical event of the year. That would certainly be tomorrow's headline in the local newspaper of the small Spanish town I came from. Or the epitaph on my tombstone, seeing the turn my life had taken in the span of a phone call. Four weeks wasn't a lot of time to find someone willing to cross the Atlantic-from NYC and all the way to Spain-for a wedding. Let alone, someone eager to play along with my charade. But that didn't mean I was desperate enough to bring the 6'4 blue eyed pain in my ass standing before me, Aaron Blackford. The man whose main occupation was making my blood boil had just offered himself to be my date. Right after inserting his nose in my business, calling me delusional, and calling himself my best option. See? Outrageous. Aggravating. Blood boiling. And much to my total despair, also right. Which left me with a surly and extra large dilemma in my hands. Was it worth the suffering to bring my colleague and bane of my existence as my fake boyfriend to my sister's wedding? Or was I better off coming clean and facing the consequences of my panic induced lie? Like my abuela would say, que dios nos pille confesados.",5,N/A,en
A Slice of Heaven,['Sherryl Woods'],2015-02-24,['Fiction'],"Emotions run high when the Sweet Magnolias try to reunite a couple who was meant to be together in this classic from #1 New York Times bestselling author Sherryl Woods When an eating disorder threatens the life of chef Dana Sue Sullivan's teenage daughter, she has no choice but to bring Annie's cheating dad back to Serenity, South Carolina. She tells herself and her friends it's all about Annie, but the sad truth is she has a boatload of unresolved feelings of her own for Ronnie Sullivan. From the moment Ronnie hits town, there's no question about his intentions. He's there for his daughter, to be sure, but he wants Dana Sue back, and every move he makes is designed to prove he's a changed man. The one thing that's never changed, though, are the sparks that fly whenever the two of them are in the same room. Dana Sue can deny all she wants that Ronnie's the only man for her, but not a single person in town is buying it. No matter the circumstances, Ronnie's return is a sweet recipe for a new beginning.",N/A,N/A,en
"To Sir Phillip, with Love",['Julia Quinn'],2003,['Fiction'],She wrote him a letter and he stole her heart.,N/A,N/A,en
Fine Things,['Danielle Steel'],1988,['Fiction'],The story of a man who learns that one's capacity to love is not reached until it is tested.,N/A,N/A,en
The Chase,['Elle Kennedy'],2018-08-26,[],"Everyone says opposites attract. And they must be right, because there's no logical reason why I'm so drawn to Colin Fitzgerald. I don't usually go for tattoo-covered, video-gaming, hockey-playing nerd-jocks who think I'm flighty and superficial. His narrow view of me is the first strike against him. It doesn't help that he's buddy-buddy with my brother. And that his best friend has a crush on me. And that I just moved in with them. Oh, did I not mention we're roommates? I suppose it doesn't matter. Fitzy has made it clear he's not interested in me, even though the sparks between us are liable to burn our house down. I'm not the kind of girl who chases after a man, though, and I'm not about to start. I've got my hands full dealing with a new school, a sleazy professor, and an uncertain future. So if my sexy brooding roomie wises up and realizes what he's missing? He knows where to find me.",N/A,N/A,en
The Storm Sister,['Lucinda Riley'],2015-11-05,['Adopted children'],"Ally D'Apliese is about to compete in one of the world's most perilous yacht races, when she hears the news of her adoptive father's sudden, mysterious death. Rushing back to meet her five sisters at their family home, she discovers that her father - an elusive billionaire affectionately known to his daughters as Pa Salt - has left each of them a tantalising clue to their true heritage. Ally has also recently embarked on a deeply passionate love affair that will change her destiny forever. But with her life now turned upside down, Ally decides to leave the open seas and follow the trail that her father left her, which leads her to the icy beauty of Norway ... There, Ally begins to discover her roots - and how her story is inextricably bound to that of a young unknown singer, Anna Landvik, who lived there over a hundred years before, and sang in the first performance of Grieg's iconic music set to Ibsen's play 'Peer Gynt'. As Ally learns more about Anna, she also begins to question who her father, Pa Salt, really was. And why is the seventh sister missing?",N/A,N/A,en
Mansfield Park,['Jane Austen'],2010,['Fiction'],"A New York Times Bestselling Author -- In Jane Austen's third published novel after Sense and Sensibility and Pride and Prejudice, young Fanny Price is sent to live with her wealthy uncle and aunt, Sir Thomas and Lady Bertram, at Mansfield Park. Raised among her four cousins, Fanny -- the poor relation -- often goes unobserved in the household, making her a unique observer of the ethics, morals, attitudes and behavior of English society.",N/A,N/A,en
Emma,['Jane Austen'],2012-01-01,['England'],Classics with legible texts you can actually read at a fantastic price.,N/A,N/A,en
September,['Rosamunde Pilcher'],1991-07-15,['Fiction'],""" ... A story of homecomings and heartbreaks, friendships, betrayls, forgiveness, and love.""--Publisher's website.",N/A,N/A,en
Thus Bad Begins,['Javier Marías'],2016,['Fiction'],"**Named a Best Book of the Year by the Boston Globe and Los Angeles Times** From the internationally acclaimed author of The Infatuations comes the mesmerizing story of a couple living in the shadow of a mysterious, unhappy history--a novel about the cruel, tender punishments we exact on those we love. Madrid, 1980. Juan de Vere, nearly finished with his university degree, takes a job as personal assistant to Eduardo Muriel, an eccentric, once-successful film director. Urbane, discreet, irreproachable, Muriel is an irresistible idol to the young man. But Muriel's voluptuous wife, Beatriz, inhabits their home like an unwanted ghost; and on the periphery of their lives is Dr. Jorge Van Vechten, a family friend implicated in unsavory rumors that Muriel now asks Juan to investigate. As Juan draws closer to the truth, he uncovers only more questions. What is at the root of Muriel's hostility toward his wife? How did Beatriz meet Van Vechten? What happened during the war? Marías leads us deep into the intrigues of these characters, through a daring exploration of rancor, suspicion, loyalty, trust, and the infinitely permeable boundaries between the deceptions perpetrated on us by others and those we inflict upon ourselves.",N/A,N/A,en
Stealing Home,['Sherryl Woods'],2014-11-25,['Fiction'],"#1 New York Times bestselling author Sherryl Woods returns readers to her world of strong friendships and heartfelt emotions in this classic Sweet Magnolias novel Maddie Townsend might live in a town called Serenity but there's been nothing calm or peaceful about her life since her marriage broke up. This stay-at-home mom has no job skills, an out-of-control sixteen-year-old son, a talkative fourteen-year-old who's suddenly gone silent, a six-year-old daughter whose heart is broken, an ex-husband whose younger girlfriend is expecting their baby and two best friends who think she's somehow qualified to help them open a fitness spa for women. But if Maddie is a tad on edge with all that on her plate, it's nothing compared to the chaos that ensues when she discovers that her son's baseball coach has feelings for her and the whole town disapproves. Maddie's faced a lot of challenges lately with strength and resolve, but Cal Maddox may turn out to be more than she can handle. Then again, he could just be the one man in all of South Carolina who can help her find serenity.",N/A,N/A,en
An Offer from a Gentleman,['Julia Quinn'],2021-05-25,['Fiction'],Synopsis coming soon.......,N/A,N/A,en
The Cottage,['Danielle Steel'],2002,['Fiction'],"In her fifty-fourth bestselling novel, DANIELLE STEEL weaves a compelling story of fame and friendship, charmed lives and private struggles...and of three very different men whose lives converge and collide atThe Cottage. On a sunny day in Hollywood, a gleaming Rolls-Royce convertible pulls through the gates of the magnificent estate known asThe Cottage. Modeled after the “cottages” of Newport, Rhode Island, the spacious, elegant property, sitting on fourteen acres of lush Bel Air, fits its owner to a T. For the man behind the wheel of the Rolls is Hollywood’s ageless wonder, Cooper Winslow. A star of the silver screen for decades, a man whose allure to women is the stuff of legend, Coop exudes grace, charm, and old-fashioned style. But today Coop Winslow is in for a major surprise. He’s broke. And with no major roles coming his way, Coop is faced with the heartbreaking prospect of selling his beloved home of forty years, or at least renting out the gatehouse and part of the main house. A huge blow to Coop, whose debonair attitude allows him to escape reality much of the time. His new tenants, Mark Friedman and Jimmy O’Connor, are busy coping with problems of their own. Mark’s wife of sixteen years just walked out, and Jimmy recently lost his own wife to a devastating illness. But everything changes when Mark’s teenage son and daughter move in. Suddenly,The Cottageis transformed, with music blasting from every corner, teenagers on skateboards crashing into vintage cars, and a never-ending parade of young starlets streaming in and out to visit Coop. But amid all the noise and the chaos, something unexpected is happening. Three men who never would have met are becoming friends...and each man finds himself changing in surprising ways, Coop most of all. Because beneath the dazzle and flash, the impeccably tailored suits and the sheer bravado, is a man trying to keep control of his carefully ordered world–a world that is becoming more and more unpredictable with each passing day. First, a tabloid scandal erupts, threatening Coop’s budding romance with a wealthy debutante....A stranger approaches Coop with stunning news....A devastating accident almost claims the life of one of the housemates....And in the midst of it all,The Cottagewelcomes a new houseguest with a secret of her own, who will change Coop’s life in unexpected ways. Because among the people who share his cottage and his life, Coop Winslow–loner, bachelor, movie star–may find the rarest of all opportunities: a chance to build a happiness he could never have dreamed of on his own, and to become the kind of human being he has never been. Against a glittering backdrop of celebrity and glamour, DANIELLE STEEL digs deeper to tell a story of friendship and love, tragedy and second chances...of the choices and unexpected turns of fate that can shape characters and lives. From the Hardcover edition.",N/A,N/A,en
The Rana Look,['Sandra Brown'],2002,['Fiction'],"A New York Times Bestseller Rana Ramsey had a ""look,"" a style that went beyond beauty, that had made her a modeling legend. But when she began to feel like an object, always sought after but not for herself, she ran to a rickety boarding house in a small Texas town, where nobody knew her and she could be somebody else. Then quarterback Trent Gamblin chose to recuperate just down the hall, and Rana learned she couldn't hide from the world forever. Available in Basic 5 and 6.",N/A,N/A,en
HRH,['Danielle Steel'],2006,['Fiction'],"After four years of college in America, Princess Christianna is determined not to return to the stiff, formal lifestyle of her father's court and, hoping to make a difference in the world, persuades her father to allow her to volunteer for the Red Cross in East Africa, an experience that will transform her life forever. 800,000 first printing.",N/A,N/A,en
Sunny Chandler's Return,['Sandra Brown'],2004,['Fiction'],"Sandra Brown has won over fans and critics throughout the world with more than fifty New York Times bestselling novels. Her early works were hailed by Rendezvous magazine as stories with ""larger than life heroes and heroines [who] make you believe all the warm, wonderful, wild things in life."" Here is the unforgettable story of a woman who returns to her small hometown in the South--and finds that the sins of her past are right where she left them. Never. Sunny Chandler always said she'd never go back to the tiny town where she grew up. It was just three years ago that she was at the center of a notorious scandal--and the good folks of Latham Green, Louisiana, made it clear they'd never let her forget it. So Sunny packed up and headed for New Orleans, and now she wouldn't give up city life for the world. But when she's invited to her best friend's wedding, Sunny has no choice but to go home. And with her return come the whispers...the looks...the rumors she tried to escape. It doesn't take Sunny long to see that Latham Green has nothing new to offer. Except maybe Ty Beaumont. The moment Ty and Sunny first meet at a party, he can see she's no ordinary woman. With her dazzling hair, and eyes the color of gold, she's a flesh-and-blood fantasy--and Ty vows he'll have her in his bed before the week is out. Yet even when he turns on his southern charm, Sunny makes it clear she's not interested. Sure, a night with Ty would be wilder than Bourbon Street at Mardi Gras. But Sunny's not in town to become some good ol' boy's latest conquest, no matter how sexy he is. Little does she know that Ty isn'tused to taking no for an answer--and he isn't about to start now. Soon what began as an innocent flirtation becomes a tantalizingly slow, skillfully deliberate, and overwhelmingly seductive pursuit that even Sunny finds hard to resist. But resist him she will. For Sunny is harboring an agonizing secret--the painful truth of why she left Latham Green the way she did. What she really needs now is a friend--and that's when she discovers there may be more to Ty Beaumont than meets the eye. Despite his roguish facade, Sunny comes to see he has a heart of gold. Still, she doesn't know if she can trust another person with her secret heartbreak--not even the one man who may be able to heal it.",N/A,N/A,en
The Risk,['Elle Kennedy'],2019-02-18,['Fiction'],Book two in the Briar U series by New York Times bestselling author Elle Kennedy.,N/A,N/A,en
Romance Treasury,[],1975,['Romance'],N/A,N/A,N/A,en
Tara Road,['Maeve Binchy'],1999,['Detective and mystery stories'],"Thanks to a chance phone call, Ria from Dublin and Marilyn from New England switch houses for the summer with extraordinary results when they are drawn into lifestyles vastly different than their own.",N/A,N/A,en
Persuasion,['Jane Austen'],2012-01-31,['Books and reading'],Classics with legible texts you can actually read at a fantastic price.,N/A,N/A,en
The Japanese Lover,['Isabel Allende'],2016-07-05,['Fiction'],"In 1939, as Poland falls under the shadow of the Nazis, young Alma Belasco's parents send her away to live in safety with an aunt and uncle in their opulent mansion in San Francisco. There, as the rest of the world goes to war, she encounters Ichimei Fukuda, the quiet and gentle son of the family's Japanese gardener. Unnoticed by those around them, a tender love affair begins to blossom. Following the Japanese attack on Pearl Harbor, the two are cruelly pulled apart as Ichimei and his family -- like thousands of other Japanese Americans -- are declared enemies and forcibly relocated to internment camps run by the United States government. Throughout their lifetimes, Alma and Ichimei reunite again and again, but theirs is a love that they are forever forced to hide from the world. Decades later, Alma is nearing the end of her long and eventful life. Irina Bazili, a care worker struggling to come to terms with her own troubled past, meets the elderly woman and her grandson, Seth, at San Francisco's charmingly eccentric Lark House nursing home. As Irina and Seth forge a friendship, they become intrigued by a series of mysterious gifts and letters sent to Alma, eventually learning about Ichimei and this extraordinary secret passion that has endured for nearly seventy years.",N/A,N/A,en
Twisted Perfection,['Abbi Glines'],2013-07-30,['Fiction'],"""Della Sloane is not your average girl. Yearning to break free of her dark and sheltered past and the memories of the illness that claimed her mother, Della plans a solo road trip to experience real life on her own terms. But the trip is nearly cut short in the little beach town of Rosemary when she realizes she can't even pump her own gas; until Woods Kerrington shows up, more than willing to help out a pretty girl in need.""--Page 4 of cover.",N/A,N/A,en
The Wedding,['Julie Garwood'],2002,['Fiction'],"Connor MacAlister kidnaps and marries Lady Brenna and professes only to want her for the heir she can give him, but he soon realizes he longs to hear that she returns his undying love.",N/A,N/A,en
The Thirteen,['Honore de Balzac'],2014,['Classic literature'],"This series of three novellas is unified by an overarching motif: in all three tales, a mysterious secret society known as The Thirteen is at work behind the scenes. The men in the group have pledged eternal loyalty to each other, and if any member ever finds himself in peril, it is the sworn duty of the others to come to his aid. Honore de Balzac uses this premise as a device to explore a wide range of topics, including clashes between different classes of society, doomed romances, and intrigue driven by greed.",N/A,N/A,en
Yours Until Dawn,['Teresa Medeiros'],2004,['Blind'],"Blinded in battle, an injury that costs him his beloved fiancée, war hero Gabriel Fairchild lives as a recluse until the arrival of nurse Samantha Wickersham, who sets out to heal not only his body, but also his heart and mind.",N/A,N/A,en
Just for Now,['Abbi Glines'],2013-08-27,['Juvenile Fiction'],Amanda's infatuation with bad boy Preston knows no limits.,N/A,N/A,en
All Your Perfects,['Colleen Hoover'],2022-01-05,[],"Can a love story with a perfect beginning survive a lifetime between two imperfect people? From the bestselling author of It Ends With Us. THEN: The last thing Quinn expected was to meet the love of her life just outside her fiancé's front door. A year after leaving behind their cheating partners, Quinn and Graham are in a perfect relationship that seems designed by fate. NOW: Seven years later, their perfect love is threatened by their imperfect marriage. The memories, mistakes, and dreams that they have built up over the years are tearing them apart. The one thing that could save them might also be the very thing that pushes their marriage past the point of no return. Written with the same emotional depth and keen insight that made Colleen Hoover's It Ends with Us and Ugly Love instant New York Times bestsellers. All Your Perfects is a powerfully moving story about a broken couple whose future hinges on promises made in the past, reminding us that the enduring power of love is the ultimate saviour. Praise for All Your Perfects 'Colleen Hoover returns with an emotionally raw page-turner.' Us Weekly 'Colleen Hoover crafts the unraveling of a marriage with brutal, unflinching honesty. The genius is in how she stitches together the perfect ending. This is one beautiful story.' Tracey Garvis Graves, author of The Girl He Used to Know 'A poignant love story ... With Hoover's evocative style, readers will experience the emotion of this story while sympathising with both Quinn and Graham.' Booklist",N/A,N/A,en
The Klone and I,['Danielle Steel'],1998,['Fiction'],"After thirteen years of marriage and two kids. Stephanie was devastated when her husband left her for a younger woman. Suddenly she was alone. Then a spur-of-the-moment trip to Paris changed everything. Peter Baker was a handsome high-tech entrepreneur also visiting the city. Stephanie was certain it couldn't possibly work. But much to her amazement, he contacted her when they returned to New York. And Stephanie embarked on a bizarre and hilarious adventure beyond her wildest dreams. Shy, serious Peter, chairman of a bionic enterprise, was supposed to be away on business. Instead, he's standing at her door, wearing satin and rhinestones. Naturally, Stephanie thinks it's a joke -- until the truth suddenly dawns: this isn't Peter playing a role. This is his double! Calling himself Paul Klone, this wild, uninhibited creature isn't even remotely like Peter except for his identically sexy good looks. This uproarious novel explores the outrageous love triangle that develops between Stephanie, Peter...and The Klone. In a wickedly funny, right-on-target look at finding the per-feet mate in an imperfect world, bestselling novelist Danielle Steel reveals insights into the human heart that have made her novels #1 bestsellers around the world.",N/A,N/A,en
Chain of Gold,['Cassandra Clare'],2019,['Brothers and sisters'],N/A,N/A,N/A,en
